url_path,views_total,views_unique
/ChameleonTartu/so-answers,9,2
/ChameleonTartu/so-answers/blob/main/so-67264587/app.py,5,3
/ChameleonTartu/so-answers/blob/main/so-67251557/shows.db,3,3
/ChameleonTartu/so-answers/tree/main/so-67251557,3,3
/ChameleonTartu/so-answers/blob/main/so-67251557/db.py,2,2
/ChameleonTartu/so-answers/find/main,1,1
/ChameleonTartu/so-answers/new/main,1,1
/ChameleonTartu/so-answers/pulse,1,1
/ChameleonTartu/so-answers/tree/main,1,1
/ChameleonTartu/so-answers/tree/main/so-67264587,1,1
